,Google Places ID,Review Count,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
427,ChIJ8Z2OAeVawokRtWUSIo1gJbk,1,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0
428,ChIJ8aLJ2gJZwokRwfmXZJOZP-c,1,0.009345794392523364,0.04672897196261682,0.009345794392523364,0.028037383177570093,0.009345794392523364,0.018691588785046728,0.102803738317757,0.009345794392523364,0.0,0.037383177570093455
429,ChIJ8b9vyCBcwokR8R3qW1rAdwc,1,0.019230769230769232,0.0,0.0,0.019230769230769232,0.0,0.07692307692307693,0.057692307692307696,0.038461538461538464,0.0,0.038461538461538464
430,ChIJ8cmq-YlPwokRskBjxALJWs4,1,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.058823529411764705,0.029411764705882353,0.0,0.0
431,ChIJ8cxudiNcwokRr_O5Gkv-H3Q,1,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0,0.0625,0.0,0.0625
432,ChIJ8d-mYZ1ZwokR16sFP0AWmh4,1,0.05263157894736842,0.02631578947368421,0.02631578947368421,0.0,0.02631578947368421,0.10526315789473684,0.10526315789473684,0.02631578947368421,0.02631578947368421,0.05263157894736842
433,ChIJ8d8fX6tfwokRoufmQInmXMo,1,0.0,0.0,0.0,0.0,0.05555555555555555,0.027777777777777776,0.1388888888888889,0.0,0.0,0.08333333333333333
434,ChIJ8fWTY4RZwokR4Ms5QmRaooc,1,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.05555555555555555,0.0,0.0,0.05555555555555555
435,ChIJ8xtxhDtfwokRGQTUC4sN9AI,1,0.0,0.01818181818181818,0.0,0.0,0.0,0.05454545454545454,0.01818181818181818,0.01818181818181818,0.0,0.01818181818181818
436,ChIJ8yyl3A1cwokRkNB27I8sBMg,1,0.0,0.07692307692307693,0.0,0.0,0.23076923076923078,0.0,0.3076923076923077,0.0,0.07692307692307693,0.23076923076923078
437,ChIJ8zxk4npbwokRNy8FGRD5AA0,2,0.02108433734939759,0.06113342257920571,0.012048192771084338,0.015060240963855422,0.0641454707719768,0.030120481927710843,0.1463632307005801,0.012048192771084338,0.0215305667112896,0.04863900044622936
438,ChIJ9-FskmZfwokRpHrVZdMPUM4,1,0.015384615384615385,0.046153846153846156,0.015384615384615385,0.03076923076923077,0.03076923076923077,0.06153846153846154,0.13846153846153847,0.015384615384615385,0.015384615384615385,0.046153846153846156
439,ChIJ9-hxMTxcwokRc_cyQuFpjOo,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0
440,ChIJ90DjosJYwokRRtZbTeidX1Q,1,0.0,0.07042253521126761,0.0,0.028169014084507043,0.08450704225352113,0.028169014084507043,0.16901408450704225,0.04225352112676056,0.014084507042253521,0.09859154929577464
441,ChIJ90vZnpBZwokRQHw5JBjdjfQ,1,0.0,0.0,0.0,0.05,0.05,0.05,0.2,0.0,0.0,0.05
442,ChIJ92DPpF5awokREbj7PsI9XRc,1,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.0,0.05555555555555555,0.05555555555555555
443,ChIJ94EZaGb2wokRSc-P6BJ_IPo,1,0.04,0.04,0.0,0.08,0.0,0.08,0.12,0.0,0.0,0.0
